"","log2FoldChange","padj"
"BCAS2",0.07565350089104,0.8
"ARHGEF10",-0.14325544248932,0.46
"AKR7L",0.8555205282112,0
"SNORD116-21",-0.16960655321474,0.75
"ST6GAL2",-0.37202830136568,0.14
"RP11-423F24.3",-0.05283372967751,0.91
"ITGA3",-0.00804407422815,0.99
"PELP1",-0.31323780242508,0.28
"PEG3",0.18264582003058,0.64
"TMEM110-MUSTN1",0.03168762351672,0.97
"KIAA1644",-0.04207376093868,0.93
"CAPZA2",0.01400769366468,0.95
"ARMCX5",0.28496942325953,0.05
"GPR56",-0.2327194016402,0.48
"RP11-395P16.1",-0.27930610736193,0.6
"BCAP31",-0.02676298630412,0.91
"TBC1D22B",0.02020266779704,0.94
"CSPG5",-0.12852286095709,0.81
"UPRT",0.16769268205509,0.19
"NUB1",-0.05141444869232,0.71
"KIAA1731",0.0978001022221,0.58
"NNAT",-0.70913216290305,0.12
"MTHFS",0.15266436361481,0.75
"AP000487.6",-0.00182078450066,1
"NEUROG2",0.20109130041756,0.63
"HN1",0.14529347219012,0.48
"CCDC169",0.12722346776624,0.78
"KCNT1",-0.13789367775938,0.76
"TMEM41B",0.02511097524237,0.94
"MMS22L",-0.36550134505048,0.08
"KIAA1109",0.02793767684055,0.93
"PPP2R1A",-0.16141423290217,0.62
"AC105020.1",0.62836356856904,0
"CTD-2314G24.2",-0.24661701436319,0.71
"TAS2R5",0.58351417895468,0.01
"ATG9A",-0.24141413511922,0.47
"MAP2K7",-0.32097482242406,0.17
"RP11-49K24.8",-0.17905634614071,0.81
"CCDC13-AS1",0.26467536884609,0.62
"AC074212.6",0.42732365925696,0.25
"MARK3",0.08176156458017,0.44
"TSN",-0.04230000576594,0.8
"LL0XNC01-250H12.3",-0.06435094827645,0.94
"CLK3",0.04193452209108,0.89
"RP11-325E14.2",-0.15666225474041,0.82
"GORAB",0.16257905750873,0.39
"INTS3",0.08853747858117,0.44
"STXBP2",-0.09603957246848,0.89
"C12orf75",-0.06884675834253,0.87
"SLC23A3",0.13737190784724,0.81
"PREPL",-0.0920533137236,0.75
"KIF12",-0.61174526910844,0.16
"ZMYM4",-0.10351239723305,0.7
"OGFOD1",0.03680745675252,0.84
"SYPL2",0.0124672671854,0.98
"ELMO3",-0.04775457518728,0.95
"RP11-66N5.2",-0.16295948471324,0.78
"RP11-1148O4.1",0.26578659179362,0.28
"TRAK2",0.08232785517819,0.79
"FTH1",-0.13934706203709,0.83
"ZDHHC6",0.20569792218455,0.17
"DHRS4L2",0.27669254087765,0.45
"TMEM177",-0.3067603430106,0.3
"RP5-1129J21.3",0.38893973932031,0.14
"ZNF570",-0.16882135246953,0.61
"NFKB1",-0.32993835392769,0.02
"AP001625.6",0.60533501000155,0.19
"USP35",0.11164904663466,0.72
"UBALD2",-0.11252117348841,0.74
"FAM214B",0.15388724616981,0.38
"TMEM216",0.01024185988089,0.97
"DUSP16",-0.08903644752229,0.75
"ERC2",0.1825483249208,0.49
"C22orf43",0.15389565240695,0.77
"PARP12",0.33960384982831,0.49
"BOLA3",0.13157880574353,0.74
"RP11-173G21.1",-0.10468925503239,0.88
"DKFZP761J1410",-0.07509267583219,0.83
"RP11-55K13.1",0.27782485964774,0.62
"UQCR11",0.13212772863774,0.74
"SC5D",-0.14103278206749,0.5
"LPCAT4",0.22507720726163,0.39
"RHOG",-0.28280510100399,0.45
"NDUFS1",-0.10279363559736,0.56
"FAF1",-0.08293753027397,0.61
"ASAH2",0.26144943127191,0.68
"CAMTA1",0.45157166543632,0
"RPL13P5",0.26045313098442,0.55
"ACO2",-0.38360051762779,0.14
"METTL9",0.11005971524747,0.49
"DNPEP",-0.14815875466426,0.59
"PRIM1",-0.50093001406185,0
"RELA",-0.02169542534112,0.95
"SHKBP1",-0.34944580464944,0.34
"OSTCP4",-0.04102990026863,0.94
"RP11-793H13.11",0.27523079158554,0.47
"SNORD94",0.1669200255211,0.81
"PDE2A",-0.029465993581,0.93
"RP11-75A9.3",-0.03591238683432,0.96
"DNAH12",0.56097608937652,0.12
"AP000351.10",0.51397741314288,0.32
"GAS2L1",-0.52059177208734,0.18
"SOD1",0.06605796766869,0.88
"ZNF703",-0.19121669917107,0.62
"RXFP2",-0.16802383050016,0.82
"LHPP",-0.00436322205935,0.99
"CCBL2",0.16085546519414,0.51
"BCO2",0.63563949373891,0.01
"EDARADD",-0.52387785496427,0.21
"ASB18",0.32686437526213,0.48
"PTPLAD2",0.43240201983732,0.46
"MORN3",0.2121183709683,0.66
"PCNPP1",-0.00411933190681,0.99
"VTI1B",0.09875073666828,0.55
"RP11-69L16.5",0.04035305557828,0.86
"PYGM",0.08302605028483,0.79
"RAB40B",0.3041043071443,0.08
"AC008850.3",0.17470428593691,0.71
"CSTF1",-0.1013865144032,0.35
"CRNDE",0.32155060249153,0.02
"MIR4426",0.0903971560096,0.82
"MRPL14",-0.09974799656777,0.75
"DLAT",0.00203153279897,0.99
"TOPBP1",-0.02395671812044,0.93
"ACRBP",0.34989341381426,0.22
"SPICE1",-0.2533689440014,0.25
"ELK4",-0.09846627200525,0.83
"RP11-797A18.4",0.20428422429552,0.68
"RNF152",-0.03746254193354,0.96
"SLC6A16",0.37652700275454,0
"COX19",-0.18522099150453,0.37
"MAU2",-0.15729696808666,0.67
"MMS19",0.19586608930283,0.08
"ARNT",-0.08869724867661,0.73
"BMPR1APS1",-0.50093596597282,0.12
"AC132872.1",-0.12376120403696,0.79
"RP11-267M23.4",0.6747784674318,0.03
"TLCD1",-0.02028555103798,0.96
"STOX1",0.14581623229976,0.79
"DRC1",0.62284884980179,0.24
"ACY1",0.07534055449674,0.86
"PPP1CB",-0.02664516072855,0.9
"RP5-1021I20.5",-0.02213937799437,0.97
"DNAJC30",0.07988068729965,0.83
"TUSC1",0.1630354494406,0.66
"LEF1-AS1",-0.08834780392692,0.9
"PPM1B",0.02306447371577,0.88
"DERL3",-0.8153631654174,0.01
"PRKAR1A",0.06218803555101,0.78
"EPDR1",-0.04408872947995,0.86
"POFUT1",-0.38246495697579,0.05
"AC079586.1",-0.49408016760443,0.06
"PHGDH",-0.11672394341774,0.68
"MUL1",-0.23315155309191,0.32
"RP11-60A24.3",0.10363543428167,0.8
"UBE2B",0.28360064336188,0.18
"LILRB5",-0.36074833266979,0.06
"PKD2L2",0.14710570908291,0.81
"AP003774.4",0.39691310561366,0.21
"ATG3",0.15159498077548,0.57
"RP11-272L13.3",0.10437428212781,0.88
"DOCK3",0.56514981800125,0
"EGLN2",0.09434675842089,0.7
"TTC9C",0.02411133648395,0.91
"RNF113A",0.16894939581343,0.4
"EXOC3",-0.11218194015973,0.64
"SCN11A",0.50767634501149,0.03
"RP11-923I11.1",0.38586607226202,0
"CCDC92",0.15760238097082,0.65
"RP11-106M3.3",0.21724641491106,0.33
"ABR",-0.05917686793733,0.89
"MNAT1",0.13018625721663,0.65
"REXO4",-0.06845739200155,0.85
"RP11-452H21.4",0.40886463431715,0.39
"C16orf92",0.39174654146683,0.33
"MYCNOS",-0.1271024444773,0.83
"NAA25",0.08056893420962,0.69
"RP11-108O10.2",0.04069637729049,0.96
"C10orf88",0.18564389948579,0.37
"CAPN3",0.06876141296856,0.93
"PSMD10P3",0.08921584041586,0.9
"BDH2",-0.05867284637966,0.75
